session,subject,period,p,score,median,upper,ownmatch,bc,g,x,y,z,bcx,bcy,bcz,winner,winnerx,winnery,winnerz,numwinners,prize,prizex,prizey,prizez,topay,year,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,sex,mu,ResponseTimeBC
3,30004,5,0.69999999,41,42.544212,0,1,0,2,1,0,0,0,65,0,1,1,0,1,2,3,3,0,3,8,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,4
3,30008,5,0.69999999,31,42.544212,0,1,65,2,0,1,0,0,65,0,0,1,0,1,2,0,3,0,3,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,33
3,30004,9,0.69999999,41,42.544212,0,1,0,2,1,0,0,0,1,4,0,0,1,0,1,0,0,6,0,16,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,39
3,30004,2,0.69999999,41,42.544212,0,1,30,2,1,0,0,30,24,20,0,0,0,1,1,0,0,0,6,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,40
3,30022,7,0.69999999,44,42.544212,1,1,20,3,0,1,0,25,20,15,0,0,0,1,1,0,0,0,6,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3
3,30010,3,0.69999999,43,42.544212,1,1,20,3,1,0,0,20,17,12,0,0,0,1,1,0,0,0,6,17,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,17
3,30005,1,0.69999999,43,42.544212,1,1,0,3,0,0,1,25,52,0,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,78
3,30005,5,0.69999999,43,42.544212,1,1,4,3,0,0,1,5,11,4,0,1,0,0,1,0,6,0,0,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,79
3,30022,5,0.69999999,44,42.544212,1,1,11,3,0,1,0,5,11,4,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3
3,30010,7,0.69999999,43,42.544212,1,1,25,3,1,0,0,25,20,15,0,0,0,1,1,0,0,0,6,35,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,10
3,30005,7,0.69999999,43,42.544212,1,1,15,3,0,0,1,25,20,15,1,0,0,1,1,6,0,0,6,17,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,40
3,30022,9,0.69999999,44,42.544212,1,1,2,3,0,1,0,4,2,5,1,0,1,0,1,6,0,6,0,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3
3,30010,9,0.69999999,43,42.544212,1,1,4,3,1,0,0,4,2,5,0,0,1,0,1,0,0,6,0,41,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,17
3,30005,2,0.69999999,43,42.544212,1,1,35,3,0,0,1,15,45,35,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,44
3,30005,10,0.69999999,43,42.544212,1,1,0,3,0,0,1,35,11,0,0,0,1,0,1,0,0,6,0,17,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
3,30022,8,0.69999999,44,42.544212,1,1,2,3,0,1,0,8,2,12,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3
3,30005,6,0.69999999,43,42.544212,1,1,2,3,0,0,1,35,100,2,0,1,0,0,1,0,6,0,0,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,15
3,30022,2,0.69999999,44,42.544212,1,1,45,3,0,1,0,15,45,35,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,8
3,30010,6,0.69999999,43,42.544212,1,1,35,3,1,0,0,35,100,2,1,1,0,0,1,6,6,0,0,35,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,71
3,30005,9,0.69999999,43,42.544212,1,1,5,3,0,0,1,4,2,5,0,0,1,0,1,0,0,6,0,17,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,90
3,30010,1,0.69999999,43,42.544212,1,1,25,3,1,0,0,25,52,0,1,1,0,0,1,6,6,0,0,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,9
3,30010,5,0.69999999,43,42.544212,1,1,5,3,1,0,0,5,11,4,1,1,0,0,1,6,6,0,0,29,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,29
3,30010,8,0.69999999,43,42.544212,1,1,8,3,1,0,0,8,2,12,1,1,0,0,1,6,6,0,0,41,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,4
3,30005,8,0.69999999,43,42.544212,1,1,12,3,0,0,1,8,2,12,0,1,0,0,1,0,6,0,0,17,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,44
3,30010,4,0.69999999,43,42.544212,1,1,8,3,1,0,0,8,17,10,1,1,0,0,1,6,6,0,0,23,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,14
3,30022,6,0.69999999,44,42.544212,1,1,100,3,0,1,0,35,100,2,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,13
3,30010,10,0.69999999,43,42.544212,1,1,35,3,1,0,0,35,11,0,0,0,1,0,1,0,0,6,0,41,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,60
3,30010,2,0.69999999,43,42.544212,1,1,15,3,1,0,0,15,45,35,1,1,0,0,1,6,6,0,0,17,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,50
3,30005,4,0.69999999,43,42.544212,1,1,10,3,0,0,1,8,17,10,0,1,0,0,1,0,6,0,0,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,28
3,30022,4,0.69999999,44,42.544212,1,1,17,3,0,1,0,8,17,10,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,60
3,30005,3,0.69999999,43,42.544212,1,1,12,3,0,0,1,20,17,12,1,0,0,1,1,6,0,0,6,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,58
3,30022,3,0.69999999,44,42.544212,1,1,17,3,0,1,0,20,17,12,0,0,0,1,1,0,0,0,6,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,6
3,30022,1,0.69999999,44,42.544212,1,1,52,3,0,1,0,25,52,0,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,5
3,30022,10,0.69999999,44,42.544212,1,1,11,3,0,1,0,35,11,0,1,0,1,0,1,6,0,6,0,17,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,16
3,30009,10,0.69999999,36,42.544212,0,1,1,4,0,0,1,3,4,1,1,0,0,1,1,6,0,0,6,29,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,52
3,30002,8,0.69999999,40,42.544212,0,1,4,4,1,0,0,4,15,7,0,0,0,1,1,0,0,0,6,23,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,33
3,30002,7,0.69999999,40,42.544212,0,1,12,4,1,0,0,12,17,9,0,0,0,1,1,0,0,0,6,23,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,56
